X/Å       Temperature/K
0.0       425.969   
10.73975  432.611   
21.4795   410.448   
32.21925  392.993   
42.959    363.371   
53.69875  348.038   
64.4385   327.763   
75.17825  313.142   
85.918    303.469   
96.65775  289.345   
118.04775 267.156   
128.698   250.716   
139.34825 257.738   
149.9985  251.651   
160.64875 249.106   
171.299   242.147   
181.94925 241.15    
192.5995  230.576   
203.24975 219.019   
213.9     221.033   
